APOYOS OTORGADOS A ORGANIZACIONES DE LA SOCIEDAD CIVIL,,,,
MONTOS OTORGADOS EN 2017,,,,
Num.,Organizacion,Proyecto,Estado,Monto otorgado
11,"Casa Hogar Abrazame, A.C. ","Proyecto de reforzamiento de atencion para los problemas emocionales en ninos y ninas victimas de la violencia albergados en Casa Hogar Abrazame, A.C. de Torreon, Coahuila, fundamentado en el principio de resiliencia e inteligencia emocional para el apoyo de los programas de Educacion y Salud Mental.",Coahuila,90464
12,"Centro de Formacion para la Mujer, I.A.P.",Fortalecimiento mi persona: Una propuesta de mejora para la comunidad de la Invasion Tres Reinas de Hermosillo Sonora ,Sonora,135625
13,"Comedor Asistencial, Mi Mano Contigo, A.C. ","Mi alimentacion y salud de hoy, mi desarrollo fisico y academico en el futuro.",Sonora,144829
14,"Comite de Promocion Social del Valle de Yaqui, A.C.",Promocion de la prevencion y atencion de trastornos mentales y conductuales.,Sonora,124117
15,"Esperanza para la Familia, A.C. ","Hogares saludables, hijos satisfechos impacto de la alimentacion complementaria en el sano desarrollo de la familia.",Nuevo Leon,144743
16,"Fundacion CRV, A.C. ",Cambiar rumbo de vidas en la salud de adultos mayores.,Jalisco,90464
17,"Fundacion Cultural Federico Hoth, A.C. ",Deteccion y manejo de ninos con TDAH para padres de familia y docentes.,Ciudad de Mexico,180929
18,"Fundacion de Apoyo Infantil Yucatan, A.C. ","Aprendiendo a Protegerme: Estrategia para la prevencion del embarazo y el fortalecimiento de los derechos sexuales y reproductivos en ninas, ninos y adolescentes de Merida y Kanasin, Yucatan.",Yucatan,107562
19,"Fundacion Fraternidad sin Fronteras, I.A.P.",Atencion integral de personas abandonadas con discapacidad mental.,Ciudad de Mexico,137958
20,"Fundacion Hector Velez y de la Rosa, I.A.P.","Caminando hacia un envejecimiento activo, funcional y digno. Programa de sensibilizacion y capacitacion a cuidadores y de acciones efectivas de intervencion directa en personas mayores.",Ciudad de Mexico,164645
21,"Fundacion Mark, I.A.P.","AnimArte, (Programa de animacion y recreacion hospitalaria).",Mexico,162836.73
22,"Fundacion Motivos que dan Fuerza, A.C. ","Acciones a favor del desarrollo integral y el cuidado de la salud de las y los adultos mayores que viven en las comunidades de Huitzilzingo, san pablo Atlazalpan y el asilo de ancianos casa hogar San Jose en el municipio de Chalco, Estado de Mexico.",Mexico,175955
23,"Fundacion Obdulia Montes de Molina, I.A.P.",Impulsar la salud integral de personas con discapacidad. ,Ciudad de Mexico,122127
24,"Fundacion para los Ninos de las Californias, I.A.P. ",Programa de apoyo a paciente indigente del centro de rehabilitacion del hospital infantil de las californias.,Baja California,174416
25,"Fundacion Piel con Vida, A.C. ",Difusion de informacion para prevenir el cancer de piel.,Sonora,111950
26,"Fundacion Pilar de Esperanza, I.A.P.",Di si a la deteccion para la prevencion de la Diabetes. ,Sinaloa,135875
27,"Fundacion Raymond Bell, A.C. ",Adquisicion de equipo de rehabilitacion para complementar area de fisioterapia.,Durango,126957
28,"Fundacion Santiago Miranda Fernandez, A.C.","Crecimiento y desarrollo fisico, mental, emocional, y social de la infancia a traves de la psicomotricidad y una estimulacion temprana al alcance de todos.",Veracruz,174596
29,"Fundacion Vida Plena Ingeniero Daniel Lozano Aduna, I.A.P.",Haciendo adultos mayores felices.,Ciudad de Mexico,155599
30,"Fundacion Viviendo Pleno, A.C. ",Proyecto deteccion a tu alcance.,Sonora,62873
31,"Instituto Geriatrico de Yucatan, A.C. ","Promover el envejecimiento activo para el bienestar del adulto mayor en estado de abandono, en la estancia mi nuevo hogar en Kanasin, Yucatan.",Yucatan,176406
32,"Integralia Humanitaria, A.C. ","Atencion a ninos, jovenes y adultos de bajos recursos que padezcan enfermedades musculo-esqueleticas.",Chiapas,45232
33,"La Casita de San angel, I.A.P.",Cuidado de la Salud en personas con discapacidad intelectual y/o dano neurologico,Ciudad de Mexico,176406
34,"Machincuepa Circo Social, A.C. ",Impulsar acciones integrales para la prevencion y control de adicciones ,Ciudad de Mexico,128912
35,"Mexico en la Piel, A.C. ","Adquisicion y donacion de lentes para ninas, ninos, adolescentes, adultos y adultos mayores en condiciones de vulnerabilidad.",Mexico,160357
36,"Mision de Naim, I.A.P.","Consultorio dental para rehabilitacion de cavidad bucal, de personas del sexo masculino con problema de adicciones, estado de vulnerabilidad  y deterioro de su salud oral.",Sinaloa,65123
37,"Patronato Pro-Deficiente Mental, A.C. ","Integrar a la vida productiva a personas con discapacidad intelectual leve, previa capacitacion laboral para contribuir a disminuir la carga economica, emocional y social en lo individual y familiar, ademas generando beneficios en su salud, al complementarse su rehabilitacion.",Durango,154694
38,"Plan Genesis 13, A.C. ","Prediccion, prevencion y tratamiento contra las adicciones (P.P.T. vs adicciones)",Mexico,77799
39,"Pro Salud Juvenil, A.C. ",Programa de movilidad para personas con discapacidad motriz en situacion de desventaja economica y social.,Ciudad de Mexico,176114
40,"Proayuda, I.A.P.",Por una mejor calidad de vida para personas con discapacidad. ,Ciudad de Mexico,135064
41,"Razon y Corazon, I.A.P.","Aparatos Ortopedicos para enfermos con discapacidad y adultos mayores de los Municipios de Comala, Colima, Villa de alvarez y Cuauhtemoc.",Colima,72824
42,"Una Caricia Humana, I.A.P.",Atencion integral a personas con cancer en pobreza y sin seguridad social que reciben atencion medica en el Centro Estatal de Oncologia de Campeche. ,Campeche,108557
